,planar,connected,avg_deg,median_deg,max_deg
Model 2,0,1,5.6,5.41,11.18
Model 3,1,0.9,5.57,5.56,9.66
Model 4,1,1,3.6,3.64,7.49
Model 4b,1,1,2.37,2.13,5.63
Model 5,0,1,19.11,19,29.71
Model 5b,0.07,1,17.73,17.6,28.03
Model 6,0,1,7.57,7.5,13.08
Model 7,0,1,6.17,5.93,12.29
Model 8,0,1,5.49,5.40,10.16
Model 9,0,1,5.57,5.53,10.17
Model 9b,0.02,1,4.08,3.93,8.31
Model 10,0,1,6.01,5.8,11.42
Model 10b,0,1,4.55,4.58,9.61
Model 11,0,1,5.48,5.29,11.37
Model 11b,0,1,5.43,5.23,11.59
Model 11c,0,1,5.46,5.24,11.9
Model 12,0,1,5.44,5.31,10.24
Model 12b,0,1,5.36,5.35,10.14