rand_seed,num_vertices,prob_base_num,avg_deg
9,20,24.5,5.4
13,20,18,5.4
23,20,15.9,5.4
47,20,25,5.4
49,20,33,5.4
50,20,26,5.4
69,20,27,5.4
9,30,63,5.4
13,30,85,5.4
23,30,63,5.4
47,30,135,5.4
49,30,105,5.4
50,30,60,5.4
69,30,72,5.4
69,30,73,5.4
9,40,140,5.4
9,40,145,5.4
13,40,180,5.4
23,40,155,5.4
47,40,360,5.4
49,40,201,5.4
49,40,202,5.4
50,40,103,5.4
69,40,128,5.4
9,50,420,5.4
13,50,660,5.4
23,50,370,5.4
47,50,340,5.4
49,50,400,5.4
50,50,429,5.4
69,50,325,5.4
9,100,13500,5.38
13,100,13500,5.4
23,100,13500,5.4
47,100,9000,5.4
49,100,17500,5.42
49,100,18000,5.38
50,100,10000,5.42
69,100,6500,5.38